text,device_type,brand,model
"My iPhone, think it's a 12",smartphone,Apple,iPhone 12
"We have a Vizio TV",television,Vizio,MISSING
"The problem is with my OnePlus 10",smartphone,OnePlus,OnePlus 10
"I'm using a Microsoft wireless mouse",desktop,Microsoft,MISSING
"My daughter's Nintendo Switch Lite",gaming_console,Nintendo,Switch Lite
"The HP desktop computer",desktop,HP,MISSING
"It's a Bose soundbar",speaker,Bose,MISSING
"We got a Linksys mesh router",router,Linksys,MISSING
"The Google Pixel Tablet",tablet,Google,Pixel Tablet
"My MSI gaming laptop",laptop,MSI,MISSING
"The Echo Dot in our kitchen",speaker,Amazon,Echo Dot
"A Logitech webcam",camera,Logitech,MISSING
"My Razer gaming headset",headphones,Razer,MISSING
"It's an Acer Chromebook",laptop,Acer,Chromebook
"The Samsung Galaxy Watch",smartwatch,Samsung,Galaxy Watch
"Our Dyson air purifier",smart_home,Dyson,MISSING
"It's the Xbox Series S",gaming_console,Microsoft,Xbox Series S
"An old Brother printer",printer,Brother,MISSING
"My Xiaomi phone",smartphone,Xiaomi,MISSING
"The computer? It's a Gateway I think",desktop,Gateway,MISSING
"It's the Ring doorbell camera",smart_home,Ring,MISSING
"My Sennheiser wireless headphones",headphones,Sennheiser,MISSING
"It's an outdated Fire tablet",tablet,Amazon,Fire
"The ASUS router in our basement",router,ASUS,MISSING
"My Apple TV 4K",smart_home,Apple,Apple TV 4K
"The GoPro camera I use for hiking",camera,GoPro,MISSING
"It's a Panasonic TV",television,Panasonic,MISSING
"I'm having issues with my Fossil smartwatch",smartwatch,Fossil,MISSING
"The Corsair gaming PC",desktop,Corsair,MISSING
"A basic Toshiba laptop",laptop,Toshiba,MISSING
"My Google Home speaker",speaker,Google,Home
"The problem is with our Sony camera",camera,Sony,MISSING
"It's a TCL Roku TV",television,TCL,Roku
"I bought a Skullcandy headset",headphones,Skullcandy,MISSING
"The new M2 MacBook Air",laptop,Apple,MacBook Air M2
"Our TP-Link Wi-Fi extender",router,TP-Link,MISSING
"It's a HyperX gaming keyboard",desktop,HyperX,MISSING
"My Samsung Galaxy S22",smartphone,Samsung,Galaxy S22
"The Oculus Quest headset",gaming_console,Meta,Quest
"A ViewSonic monitor",desktop,ViewSonic,MISSING
"My Philips Hue lights",smart_home,Philips,Hue
"It's an old Nokia phone",smartphone,Nokia,MISSING
"The Western Digital external drive",unknown,Western Digital,MISSING
"My Jabra earbuds",headphones,Jabra,MISSING
"Our Insignia TV",television,Insignia,MISSING
"The issue is with my Huawei laptop",laptop,Huawei,MISSING
"I have a problem with uhh... a computer... from Dell",desktop,Dell,MISSING
"So it's like this Apple phone I got two years ago",smartphone,Apple,MISSING
"I believe it's called a... Chromecast?",smart_home,Google,Chromecast
"Basically it's a Samsung something or other",unknown,Samsung,MISSING
"You know, the TV remote",television,MISSING,MISSING
"Well I'm not sure the brand, but it's definitely a laptop",laptop,MISSING,MISSING
"Something about an HP... printer or scanner maybe?",printer,HP,MISSING
"It's that PlayStation thing my kids use",gaming_console,Sony,PlayStation
"Let's see... oh it's an iPad Air",tablet,Apple,iPad Air
"The problem's with my, what's it called, modem?",router,MISSING,MISSING
"I'm pretty sure it's some kinda Android",smartphone,MISSING,MISSING
"My husband's wireless headphones, I think they're Sony",headphones,Sony,MISSING
"It's one of those smart home thingies",smart_home,MISSING,MISSING
"The watch that tracks my steps",smartwatch,MISSING,MISSING
"Oh, it's simply called a Mac",desktop,Apple,Mac
"The system is an Xbox... not sure which generation",gaming_console,Microsoft,Xbox
"It's like a wireless speaker from Amazon",speaker,Amazon,MISSING
"I'm trying to figure out my Lenovo... something",unknown,Lenovo,MISSING
"Let me check the label... it says Dell Inspiron",laptop,Dell,Inspiron
"I think it's a 50-inch from LG",television,LG,MISSING
"One of them Google phones",smartphone,Google,MISSING
"It's uh... some kinda wireless earbuds",headphones,MISSING,MISSING
